lux,waktu,esi,status,jarak
2.7,0.0,0.0,NYAMAN,Jauh (>70 cm)
5.2,0.0,0.0,NYAMAN,Jauh (>70 cm)
6.5,0.0,0.0,NYAMAN,Jauh (>70 cm)
7.6,0.0,0.0,NYAMAN,Jauh (>70 cm)
8.1,0.0,0.0,NYAMAN,Jauh (>70 cm)
8.5,0.0,0.0,NYAMAN,Jauh (>70 cm)
8.9,0.0,0.0,NYAMAN,Jauh (>70 cm)
9.3,0.0,0.0,NYAMAN,Jauh (>70 cm)
9.6,0.0,0.0,NYAMAN,Jauh (>70 cm)
11.0,0.0,0.0,NYAMAN,Jauh (>70 cm)
12.3,0.0,0.0,NYAMAN,Jauh (>70 cm)
13.5,0.0,0.0,NYAMAN,Jauh (>70 cm)
14.4,0.0,0.0,NYAMAN,Jauh (>70 cm)
16.2,0.0,0.0,NYAMAN,Jauh (>70 cm)
17.9,1.0,0.0,NYAMAN,Jauh (>70 cm)
19.6,1.0,0.0,NYAMAN,Jauh (>70 cm)
21.1,1.0,0.0,NYAMAN,Jauh (>70 cm)
22.5,1.0,0.0,NYAMAN,Jauh (>70 cm)
23.9,1.0,0.0,NYAMAN,Jauh (>70 cm)
25.1,1.0,0.0,NYAMAN,Jauh (>70 cm)
26.2,1.0,0.0,NYAMAN,Jauh (>70 cm)
27.2,1.0,0.0,NYAMAN,Jauh (>70 cm)
28.2,1.0,0.0,NYAMAN,Jauh (>70 cm)
29.1,1.0,0.0,NYAMAN,Jauh (>70 cm)
29.9,1.0,0.0,NYAMAN,Jauh (>70 cm)
30.6,1.0,0.0,NYAMAN,Jauh (>70 cm)
31.3,1.0,0.0,NYAMAN,Jauh (>70 cm)
31.9,1.0,0.0,NYAMAN,Jauh (>70 cm)
32.4,2.0,0.0,NYAMAN,Jauh (>70 cm)
32.9,2.0,0.0,NYAMAN,Jauh (>70 cm)
33.4,2.0,0.0,NYAMAN,Jauh (>70 cm)
33.8,2.0,0.0,NYAMAN,Jauh (>70 cm)
34.1,2.0,0.0,NYAMAN,Jauh (>70 cm)
34.5,2.0,0.0,NYAMAN,Jauh (>70 cm)
34.8,2.0,0.0,NYAMAN,Jauh (>70 cm)
35.2,2.0,0.0,NYAMAN,Jauh (>70 cm)
35.4,2.0,0.0,NYAMAN,Jauh (>70 cm)
35.7,2.0,0.0,NYAMAN,Jauh (>70 cm)
35.9,2.0,0.0,NYAMAN,Jauh (>70 cm)
36.1,2.0,0.0,NYAMAN,Jauh (>70 cm)
36.4,2.0,0.0,NYAMAN,Jauh (>70 cm)
36.6,2.0,0.0,NYAMAN,Jauh (>70 cm)
36.8,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.0,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.2,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.3,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.5,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.6,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.7,3.0,0.01,NYAMAN,Jauh (>70 cm)
37.9,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.0,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.1,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.1,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.2,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.3,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.4,3.0,0.01,NYAMAN,Jauh (>70 cm)
38.4,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.5,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.5,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.6,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.6,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.7,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.7,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.6,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.5,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.3,4.0,0.01,NYAMAN,Jauh (>70 cm)
38.1,4.0,0.01,NYAMAN,Jauh (>70 cm)
36.2,4.0,0.01,NYAMAN,Jauh (>70 cm)
34.5,4.0,0.01,NYAMAN,Jauh (>70 cm)
32.9,4.0,0.01,NYAMAN,Jauh (>70 cm)
31.4,5.0,0.01,NYAMAN,Jauh (>70 cm)
30.0,5.0,0.01,NYAMAN,Jauh (>70 cm)
28.7,5.0,0.01,NYAMAN,Jauh (>70 cm)
27.6,5.0,0.01,NYAMAN,Jauh (>70 cm)
26.5,5.0,0.01,NYAMAN,Jauh (>70 cm)
25.6,5.0,0.01,NYAMAN,Jauh (>70 cm)
24.7,5.0,0.01,NYAMAN,Jauh (>70 cm)
24.1,5.0,0.01,NYAMAN,Jauh (>70 cm)
23.9,5.0,0.01,NYAMAN,Jauh (>70 cm)
23.7,5.0,0.01,NYAMAN,Jauh (>70 cm)
24.4,5.0,0.01,NYAMAN,Jauh (>70 cm)
24.8,5.0,0.01,NYAMAN,Jauh (>70 cm)
25.2,5.0,0.01,NYAMAN,Jauh (>70 cm)
24.3,5.0,0.01,NYAMAN,Jauh (>70 cm)
23.3,6.0,0.01,NYAMAN,Jauh (>70 cm)
22.0,6.0,0.01,NYAMAN,Jauh (>70 cm)
20.9,6.0,0.01,NYAMAN,Jauh (>70 cm)
19.8,6.0,0.01,NYAMAN,Jauh (>70 cm)
18.8,6.0,0.01,NYAMAN,Jauh (>70 cm)
17.7,6.0,0.01,NYAMAN,Jauh (>70 cm)
16.8,6.0,0.01,NYAMAN,Jauh (>70 cm)
15.9,6.0,0.01,NYAMAN,Jauh (>70 cm)
15.1,6.0,0.01,NYAMAN,Jauh (>70 cm)
14.3,6.0,0.01,NYAMAN,Jauh (>70 cm)
13.7,6.0,0.01,NYAMAN,Jauh (>70 cm)
13.0,6.0,0.01,NYAMAN,Jauh (>70 cm)
12.5,6.0,0.0,NYAMAN,Jauh (>70 cm)
11.9,6.0,0.0,NYAMAN,Jauh (>70 cm)
11.3,7.0,0.01,NYAMAN,Jauh (>70 cm)
10.7,7.0,0.01,NYAMAN,Jauh (>70 cm)
10.2,7.0,0.0,NYAMAN,Jauh (>70 cm)
9.7,7.0,0.0,NYAMAN,Jauh (>70 cm)
9.2,7.0,0.0,NYAMAN,Jauh (>70 cm)
8.8,7.0,0.0,NYAMAN,Jauh (>70 cm)
8.3,7.0,0.0,NYAMAN,Jauh (>70 cm)
7.9,7.0,0.0,NYAMAN,Jauh (>70 cm)
7.4,7.0,0.0,NYAMAN,Jauh (>70 cm)
7.0,7.0,0.0,NYAMAN,Jauh (>70 cm)
6.7,7.0,0.0,NYAMAN,Jauh (>70 cm)
6.3,7.0,0.0,NYAMAN,Jauh (>70 cm)
6.0,7.0,0.0,NYAMAN,Jauh (>70 cm)
5.8,7.0,0.0,NYAMAN,Jauh (>70 cm)
5.6,8.0,0.0,NYAMAN,Jauh (>70 cm)
5.4,8.0,0.0,NYAMAN,Jauh (>70 cm)
5.3,8.0,0.0,NYAMAN,Jauh (>70 cm)
5.1,8.0,0.0,NYAMAN,Jauh (>70 cm)
5.0,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.8,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.7,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.6,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.5,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.5,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.5,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.4,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.3,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.3,8.0,0.0,NYAMAN,Jauh (>70 cm)
4.1,9.0,0.0,NYAMAN,Jauh (>70 cm)
4.0,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.9,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.8,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.7,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.6,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.5,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,9.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.4,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.5,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.6,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.8,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.8,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.8,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.8,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.9,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.9,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.9,10.0,0.0,NYAMAN,Jauh (>70 cm)
3.9,10.0,0.0,NYAMAN,Jauh (>70 cm)
4.1,10.0,0.0,NYAMAN,Jauh (>70 cm)
4.3,10.0,0.0,NYAMAN,Jauh (>70 cm)
6.3,11.0,0.0,NYAMAN,Jauh (>70 cm)
8.1,11.0,0.01,NYAMAN,Jauh (>70 cm)
23.7,11.0,0.02,NYAMAN,Jauh (>70 cm)
36.1,11.0,0.03,NYAMAN,Jauh (>70 cm)
47.5,11.0,0.03,NYAMAN,Jauh (>70 cm)
56.5,11.0,0.04,NYAMAN,Jauh (>70 cm)
64.7,11.0,0.05,NYAMAN,Jauh (>70 cm)
72.2,11.0,0.05,NYAMAN,Jauh (>70 cm)
81.0,11.0,0.06,NYAMAN,Jauh (>70 cm)
90.8,11.0,0.07,NYAMAN,Jauh (>70 cm)
99.8,11.0,0.07,NYAMAN,Jauh (>70 cm)
108.7,11.0,0.08,NYAMAN,Jauh (>70 cm)
117.0,11.0,0.09,NYAMAN,Jauh (>70 cm)
124.2,12.0,0.1,NYAMAN,Jauh (>70 cm)
130.4,12.0,0.1,NYAMAN,Jauh (>70 cm)
136.1,12.0,0.11,NYAMAN,Jauh (>70 cm)
140.4,12.0,0.11,NYAMAN,Jauh (>70 cm)
145.3,12.0,0.12,NYAMAN,Jauh (>70 cm)
149.9,12.0,0.12,NYAMAN,Jauh (>70 cm)
156.6,12.0,0.13,NYAMAN,Jauh (>70 cm)
164.1,12.0,0.13,NYAMAN,Jauh (>70 cm)
171.1,12.0,0.14,NYAMAN,Jauh (>70 cm)
178.3,12.0,0.14,NYAMAN,Jauh (>70 cm)
186.0,12.0,0.15,NYAMAN,Jauh (>70 cm)
193.2,12.0,0.15,NYAMAN,Jauh (>70 cm)
200.9,12.0,0.16,NYAMAN,Sedang (30–70 cm)
208.8,13.0,0.18,NYAMAN,Sedang (30–70 cm)
216.1,13.0,0.19,NYAMAN,Sedang (30–70 cm)
223.6,13.0,0.19,NYAMAN,Sedang (30–70 cm)
231.0,13.0,0.2,NYAMAN,Sedang (30–70 cm)
237.9,13.0,0.21,NYAMAN,Sedang (30–70 cm)
244.3,13.0,0.21,NYAMAN,Sedang (30–70 cm)
250.4,13.0,0.22,NYAMAN,Sedang (30–70 cm)
256.5,13.0,0.22,NYAMAN,Sedang (30–70 cm)
262.0,13.0,0.23,NYAMAN,Sedang (30–70 cm)
267.2,13.0,0.23,NYAMAN,Sedang (30–70 cm)
271.9,13.0,0.24,NYAMAN,Sedang (30–70 cm)
276.3,13.0,0.24,NYAMAN,Sedang (30–70 cm)
280.2,14.0,0.26,NYAMAN,Sedang (30–70 cm)
283.8,14.0,0.26,NYAMAN,Sedang (30–70 cm)
286.8,14.0,0.27,NYAMAN,Sedang (30–70 cm)
289.6,14.0,0.27,NYAMAN,Sedang (30–70 cm)
291.4,14.0,0.27,NYAMAN,Sedang (30–70 cm)
292.9,14.0,0.27,NYAMAN,Sedang (30–70 cm)
294.2,14.0,0.27,NYAMAN,Sedang (30–70 cm)
294.7,14.0,0.28,NYAMAN,Sedang (30–70 cm)
295.1,14.0,0.28,NYAMAN,Sedang (30–70 cm)
295.5,14.0,0.28,NYAMAN,Sedang (30–70 cm)
296.1,14.0,0.28,NYAMAN,Sedang (30–70 cm)
295.7,14.0,0.28,NYAMAN,Sedang (30–70 cm)
293.3,15.0,0.29,NYAMAN,Sedang (30–70 cm)
291.2,15.0,0.29,NYAMAN,Sedang (30–70 cm)
287.0,15.0,0.29,NYAMAN,Sedang (30–70 cm)
280.7,15.0,0.28,NYAMAN,Sedang (30–70 cm)
274.8,15.0,0.27,NYAMAN,Sedang (30–70 cm)
266.4,15.0,0.27,NYAMAN,Sedang (30–70 cm)
256.7,15.0,0.26,NYAMAN,Sedang (30–70 cm)
247.7,15.0,0.25,NYAMAN,Sedang (30–70 cm)
238.2,15.0,0.24,NYAMAN,Sedang (30–70 cm)
228.7,15.0,0.23,NYAMAN,Sedang (30–70 cm)
219.4,15.0,0.22,NYAMAN,Sedang (30–70 cm)
210.7,15.0,0.21,NYAMAN,Sedang (30–70 cm)
202.3,16.0,0.22,NYAMAN,Sedang (30–70 cm)
194.1,16.0,0.21,NYAMAN,Jauh (>70 cm)
186.6,16.0,0.2,NYAMAN,Jauh (>70 cm)
179.4,16.0,0.19,NYAMAN,Jauh (>70 cm)
173.0,16.0,0.18,NYAMAN,Jauh (>70 cm)
167.1,16.0,0.18,NYAMAN,Jauh (>70 cm)
162.0,16.0,0.17,NYAMAN,Jauh (>70 cm)
157.2,16.0,0.17,NYAMAN,Jauh (>70 cm)
152.8,16.0,0.16,NYAMAN,Jauh (>70 cm)
148.3,16.0,0.16,NYAMAN,Jauh (>70 cm)
143.9,16.0,0.15,NYAMAN,Jauh (>70 cm)
139.9,16.0,0.15,NYAMAN,Jauh (>70 cm)
136.0,16.0,0.15,NYAMAN,Jauh (>70 cm)
132.4,17.0,0.15,NYAMAN,Jauh (>70 cm)
129.3,17.0,0.15,NYAMAN,Jauh (>70 cm)
127.0,17.0,0.14,NYAMAN,Jauh (>70 cm)
124.9,17.0,0.14,NYAMAN,Jauh (>70 cm)
123.6,17.0,0.14,NYAMAN,Jauh (>70 cm)
123.3,17.0,0.14,NYAMAN,Jauh (>70 cm)
122.9,17.0,0.14,NYAMAN,Jauh (>70 cm)
123.6,17.0,0.14,NYAMAN,Jauh (>70 cm)
125.0,17.0,0.14,NYAMAN,Jauh (>70 cm)
126.3,17.0,0.14,NYAMAN,Jauh (>70 cm)
128.8,17.0,0.15,NYAMAN,Jauh (>70 cm)
132.1,17.0,0.15,NYAMAN,Jauh (>70 cm)
135.2,17.0,0.15,NYAMAN,Jauh (>70 cm)
139.2,18.0,0.17,NYAMAN,Jauh (>70 cm)
